"pop","CAR","CBI","CHL","CLK","COT","CPL","CYH","DCK","DEN","DPR","DUN","EDM","FBK","FIS","FNO","FRE","FTM","GAL","GAM","GIL","GPR","GRA","HAY","HBY","HST","HWK","INU","JKH","KAP","KUU","LAB","LON","LOV","LPD","MBK","MEL","MGR","MMT","MSG","MTN","NBY","NEG","NOM","NWL","OFR","OUT","POR","RAD","RMP","RNA","ROS","SKN","SLC","SOU","SRD","SSR","STL","STO","TIM","TUR","USDA_1","USDA_10","USDA_12","USDA_13","USDA_14","USDA_15","USDA_16","USDA_17","USDA_18","USDA_2","USDA_21","USDA_3","USDA_4","USDA_5","USDA_6","USDA_7","USDA_9","WHR","WLK","WOL","WTR"
"CAR",0,0.2114,0.0578,0.0083,0.146,0.0562,0.0936,0,0,0.0316,0.0241,0,0.0171,0.3433,0.1483,0.1929,0.0044,0.0123,0.0752,0,0.0843,0.0018,0,0,0.04,0.3648,0.1174,0.5568,0.0206,0.2075,0.3139,0.0735,0,0.0767,0.3558,7e-04,0.2691,0,0.4637,0.1857,0.0399,0.3326,0.075,0.047,0.0013,0.0262,0.0282,0.154,0.2425,0.0262,0.2317,0.0087,0.024,0.0217,0.0101,0.5835,0.0199,6e-04,0.0564,0.0157,0.0746,0.0311,0.061,0.0208,0.0737,0.0491,0.0499,0.0718,0.0756,0.0288,0.1131,0.0745,0.0062,0.0784,0.0266,0.0502,0.0536,0.0278,0.13,0.0059,0.042
"CBI",0.2114,0,0.1345,0.2105,0.3594,0.1648,0.219,0.2075,0.2306,0.1493,0.1813,0.2062,0.2194,0.0863,0.2217,0.0706,0.1702,0.2346,0.1498,0.2418,0.2205,0.1921,0.1937,0.1911,0.1806,0.0793,0.3446,0.5616,0.1512,0.0782,0.1349,0.195,0.2061,0.1308,0.0904,0.2034,0.0472,0.2071,0.4773,0.0929,0.1468,0.2282,0.3255,0.2919,0.2124,0.1535,0.1675,0.0397,0.3229,0.1973,0.1267,0.2019,0.161,0.1717,0.1787,0.5887,0.1608,0.1917,0.1545,0.1996,0.1418,0.1785,0.1526,0.1438,0.1885,0.1909,0.2352,0.1992,0.1428,0.1744,0.221,0.1516,0.1982,0.181,0.1522,0.1767,0.1571,0.256,0.2438,0.2515,0.1415
"CHL",0.0578,0.1345,0,0.0575,0.2485,0,0.0945,0.0622,0.0704,0.023,0.0263,0.0464,0.0774,0.2503,0.1319,0.0829,0.0172,0.0814,0,0.0813,0.0938,0.0366,0.055,0.0379,0.024,0.2644,0.2136,0.5119,0.0138,0.1086,0.2086,0.0028,0.0591,0,0.2428,0.0281,0.1535,0.0372,0.4283,0.1308,0,0.2111,0.1847,0.1536,0.0633,0.0239,0.0161,0.065,0.2245,0.0498,0.1185,0.0376,6e-04,0.0095,0.0417,0.5422,0.0231,0.0556,0.0112,0.0488,0.028,0.0266,0.0136,0,0.0355,0.0311,0.0608,0.0047,0.0011,0.0273,0.0474,0.0038,0.0219,0,0,0.0129,0,0.1203,0.1147,0.0804,0.0071
"CLK",0.0083,0.2105,0.0575,0,0.1445,0.0648,0.0952,0,0,0.0363,0.0138,0.002,0.0118,0.3526,0.1497,0.2005,0,0,0.0617,0.0197,0.0929,6e-04,0,0,0.0159,0.3692,0.1039,0.5717,0.0103,0.221,0.3209,0.052,0.0013,0.0728,0.3604,0.0097,0.2753,0,0.4797,0.193,0.0234,0.3231,0.0729,0.0363,0.0176,0.0308,0.031,0.1512,0.2656,0.0535,0.2217,0.0067,0.0169,0.0125,0.0168,0.6012,0.0554,0,0.0593,0,0.0667,0.0387,0.052,0.0097,0.0811,0.0439,0.0306,0.0762,0.0699,0.0084,0.1142,0.059,0.0016,0.0606,0.0372,0.0338,0.0453,0.0285,0.1424,0.0186,0.0368
"COT",0.146,0.3594,0.2485,0.1445,0,0.2574,0.2124,0.1479,0.1239,0.2,0.177,0.1386,0.1329,0.4665,0.2577,0.3513,0.1583,0.1062,0.2436,0.1347,0.1962,0.153,0.1517,0.1353,0.1924,0.5077,0.0173,0.6392,0.1559,0.3737,0.4913,0.2457,0.1441,0.2697,0.5025,0.1555,0.4338,0.1653,0.5494,0.3059,0.2136,0.4533,0.1529,0.1013,0.1251,0.1642,0.1983,0.3174,0.3701,0.1933,0.356,0.1515,0.1815,0.182,0.153,0.6659,0.2085,0.1482,0.246,0.1274,0.2238,0.1996,0.2207,0.1781,0.2263,0.1887,0.1845,0.2892,0.2287,0.1814,0.2708,0.2361,0.1744,0.283,0.2193,0.2155,0.2355,0.1169,0.2562,0.1262,0.1991
"CPL",0.0562,0.1648,0,0.0648,0.2574,0,0.1052,0.0527,0.07,0.0484,0.0281,0.0534,0.0766,0.2814,0.1276,0.1088,0.0263,0.0863,0.0044,0.092,0.1022,0.0613,0.0467,0.0391,0.0383,0.3022,0.2226,0.5431,0.0169,0.1455,0.2454,0.0349,0.0545,0.0225,0.2815,0.0186,0.1967,0.0461,0.4446,0.152,0.0156,0.264,0.1777,0.1521,0.0735,0.0416,0.0138,0.0669,0.2208,0.0593,0.1702,0.0337,0.0077,0.009,0.0459,0.5675,0.0277,0.0599,0.0269,0.053,0.0421,0.0295,0.0281,0.0093,0.0537,0.046,0.0857,0.0329,0.0197,0.0585,0.0428,0.0324,0.0337,0.0235,0.008,0.0376,0.0116,0.1374,0.1277,0.0858,0.0094
"CYH",0.0936,0.219,0.0945,0.0952,0.2124,0.1052,0,0.0974,0.0955,0.1204,0.1103,0.1012,0.1128,0.3314,0.019,0.1959,0.0568,0.106,0.1252,0.1106,0,0.1067,0.0958,0.0657,0.1264,0.3588,0.1806,0.3354,0.085,0.237,0.3176,0.1307,0.1064,0.1248,0.3386,0.0479,0.2648,0.1063,0.2394,0.1927,0.0865,0.2442,0.1632,0.1226,0.0877,0.0254,0.0795,0.1832,0.0905,0.1419,0.1684,0.0737,0.0816,0.0924,0.0787,0.3709,0.0638,0.0828,0.1461,0.0644,0.0975,0.1082,0.1056,0.0813,0.1132,0.1161,0.1033,0.1546,0.039,0.0961,0.1248,0.1089,0.1128,0.1407,0.0891,0.0978,0.1169,0.1198,0.0195,0.1076,0.0995
"DCK",0,0.2075,0.0622,0,0.1479,0.0527,0.0974,0,0,0.0252,0.0161,0,0.0094,0.3415,0.1515,0.1855,0,0,0.0678,0.0071,0.0917,0.0174,0,0,0.0276,0.3581,0.1189,0.5665,0.0065,0.2052,0.306,0.0698,0.0031,0.0619,0.3475,0.0104,0.271,0.0015,0.476,0.1757,0.0436,0.3332,0.084,0.0333,0.0017,0.0337,0.0205,0.1418,0.2437,0.0336,0.2231,0.0032,0.018,0.0113,0,0.595,0.0302,0,0.0638,0.017,0.0766,0.0456,0.0601,0.0209,0.081,0.0546,0.0521,0.0796,0.0815,0.0355,0.1111,0.0737,0.004,0.077,0.0396,0.0409,0.0614,0.0285,0.1428,0.0213,0.031
"DEN",0,0.2306,0.0704,0,0.1239,0.07,0.0955,0,0,0.0492,0.0126,0,0.0052,0.36,0.1404,0.2083,1e-04,0,0.0773,0,0.079,0.0015,0,0,0.0264,0.3813,0.0998,0.5606,0.0144,0.2201,0.3297,0.0628,0,0.0879,0.3745,0.0028,0.2835,0,0.4688,0.1991,0.033,0.3355,0.0403,0.0244,0,0.029,0.0211,0.1681,0.2616,0.026,0.2371,0,0.0208,0.0095,0.0036,0.5856,0.0407,0,0.0612,0,0.0745,0.0386,0.0629,0.0231,0.0755,0.0455,0.0435,0.0725,0.0669,0.0251,0.0994,0.0707,0.0244,0.0777,0.0242,0.0543,0.0579,0.001,0.1198,6e-04,0.0447
"DPR",0.0316,0.1493,0.023,0.0363,0.2,0.0484,0.1204,0.0252,0.0492,0,0.0365,0.0354,0.0642,0.28,0.1614,0.1395,0.0243,0.0639,0.032,0.0365,0.1233,0.0285,0.0476,0.0271,0.0077,0.3005,0.1745,0.5562,0.0107,0.1338,0.251,0.0284,0.0383,0.0169,0.2891,0.0413,0.2006,0.0305,0.4682,0.1438,0.0142,0.2866,0.1642,0.1251,0.0341,0.0418,0.0386,0.0985,0.2568,0.038,0.1869,0.0345,0.0149,0.0215,0.0365,0.5838,0.0505,0.0292,0.0277,0.0496,0.0358,0.0373,0.0264,0.0059,0.0645,0.0367,0.0496,0.0552,0.0499,0.0214,0.1032,0.0291,0.012,0.0455,0.0041,0.0186,0.0109,0.0673,0.1652,0.0713,0.025
